date,min_temp,max_temp,avg_temp,atm_pressure,wind_speed,downfall,eff_temp
01.01.2014,-2.6,-9.0,-5.6,,4,2,-10.4
02.01.2014,-4.0,-17.0,-10.7,,2,3,-14.6
03.01.2014,-11.3,-20.0,-14.4,,2,0,-18.6
04.01.2014,-5.5,-21.0,-13.3,,2,1,-17.4
05.01.2014,-9.3,-25.0,-15.4,,6,2,-22.3
06.01.2014,-19.0,-34.0,-27.6,,2,0,-32.6
07.01.2014,-23.7,-34.0,-30.1,,2,0,-35.2
08.01.2014,-19.0,-33.0,-24.1,,1,0,-28.3
09.01.2014,-12.5,-26.0,-20.4,,1,0,-24.4
10.01.2014,-14.0,-26.0,-18.1,,1,0,-21.9
11.01.2014,-10.0,-23.0,-17.5,,1,1,-21.3
12.01.2014,-8.8,-18.0,-14.1,,1,0,-17.7
13.01.2014,-9.5,-17.0,-12.6,,1,0,-16.0
14.01.2014,-3.0,-20.0,-11.8,,1,0,-15.2
15.01.2014,-9.7,-20.0,-14.8,,1,0,-18.4
16.01.2014,-6.5,-21.0,-15.3,,1,0,-19.0
17.01.2014,-11.1,-23.0,-15.7,,1,0,-19.4
18.01.2014,-8.5,-15.0,-12.1,,4,4,-17.4
19.01.2014,-7.0,-23.0,-16.1,,2,1,-20.4
20.01.2014,-5.0,-21.0,-10.9,,4,0,-16.2
21.01.2014,-4.1,-10.8,-6.9,,6,0,-13.2
22.01.2014,-5.4,-9.0,-7.6,,2,1,-11.3
23.01.2014,-7.3,-24.0,-12.9,,3,9,-17.7
24.01.2014,-10.4,-26.0,-21.0,,2,0,-25.7
25.01.2014,-6.5,-24.0,-12.7,,4,0,-18.2
26.01.2014,-11.6,-31.0,-17.8,,5,1,-24.3
27.01.2014,-12.7,-31.0,-19.2,,3,0,-24.5
28.01.2014,-9.8,-20.0,-15.4,,4,2,-21.0
29.01.2014,-16.0,-30.0,-22.8,,2,1,-27.6
30.01.2014,-17.4,-31.0,-25.9,,1,0,-30.2
31.01.2014,-20.0,-33.0,-24.2,,3,0,-29.7
01.02.2014,-18.8,-30.0,-24.2,,4,3,-30.3
02.02.2014,-21.1,-31.0,-27.4,,1,1,-31.7
03.02.2014,-11.2,-30.0,-22.2,,2,0,-26.9
04.02.2014,-14.3,-31.0,-23.7,,1,0,-27.9
05.02.2014,-14.0,-31.0,-23.1,,1,0,-27.2
06.02.2014,-12.6,-30.0,-22.4,,1,0,-26.5
07.02.2014,-13.5,-29.0,-22.1,,2,0,-26.8
08.02.2014,-6.0,-29.0,-21.4,,1,0,-25.5
09.02.2014,-16.3,-31.0,-23.9,,1,0,-28.1
10.02.2014,-17.2,-31.0,-25.7,,1,0,-30.0
11.02.2014,-14.6,-29.0,-21.6,,2,1,-26.3
12.02.2014,-14.6,-29.0,-22.9,,1,1,-27.0
13.02.2014,-11.0,-29.0,-20.4,,2,0,-25.1
14.02.2014,-17.0,-30.0,-22.7,,1,0,-26.8
15.02.2014,-16.0,-28.0,-22.4,,2,1,-27.2
16.02.2014,-10.8,-29.0,-20.4,,2,0,-25.1
17.02.2014,-8.0,-29.0,-20.7,,2,0,-25.4
18.02.2014,-10.1,-28.0,-14.6,,6,0,-21.6
19.02.2014,-5.8,-18.0,-11.3,,4,0,-16.8
20.02.2014,2.0,-17.0,-8.3,,3,0,-12.9
21.02.2014,0.0,-12.0,-6.7,,5,0,-12.5
22.02.2014,0.2,-15.0,-8.1,,1,0,-11.3
23.02.2014,1.3,-14.0,-5.6,,3,0,-10.0
24.02.2014,-1.2,-15.0,-9.2,,8,0,-17.1
25.02.2014,-7.5,-26.0,-16.5,,2,0,-21.0
26.02.2014,-4.8,-27.0,-15.8,,2,0,-20.3
27.02.2014,-7.5,-26.0,-18.1,,2,0,-22.6
28.02.2014,-4.8,-26.0,-16.7,,2,0,-21.2
01.03.2014,-6.0,-24.0,-15.3,,1,0,-19.0
02.03.2014,-7.6,-24.0,-14.6,,2,0,-18.9
03.03.2014,-9.9,-23.0,-16.2,,2,0,-20.6
04.03.2014,-8.0,-26.0,-17.5,,2,1,-22.0
05.03.2014,-6.0,-25.0,-16.5,,2,0,-20.9
06.03.2014,-2.6,-24.0,-13.2,,1,0,-16.9
07.03.2014,1.0,-21.0,-10.6,,3,0,-15.4
08.03.2014,-2.5,-15.2,-10.3,,4,0,-15.6
09.03.2014,-0.5,-14.0,-5.9,,5,0,-11.6
10.03.2014,-4.1,-21.0,-11.1,,4,1,-16.5
11.03.2014,0.5,-21.0,-8.8,,2,0,-12.8
12.03.2014,0.0,-15.0,-7.2,,3,0,-11.7
13.03.2014,6.8,-15.0,-1.5,,3,0,-5.6
14.03.2014,7.0,-7.0,-0.8,,1,0,-3.6
15.03.2014,5.7,-5.4,-0.7,,3,0,-4.6
16.03.2014,2.9,-14.0,-4.1,,6,13,-10.2
17.03.2014,3.7,-12.0,-3.2,,3,0,-7.4
18.03.2014,4.3,-12.0,-3.7,,2,0,-7.2
19.03.2014,7.0,-11.0,-1.7,,4,0,-6.5
20.03.2014,12.0,-8.0,0.9,,2,0,-2.5
21.03.2014,8.0,-5.1,1.8,,3,0,-2.0
22.03.2014,10.8,-4.0,3.1,,2,0,0.1
23.03.2014,9.2,-5.0,2.1,,3,0,-1.6
24.03.2014,15.0,-4.0,6.2,,3,0,2.7
25.03.2014,2.5,-5.0,-0.8,,4,2,-5.2
26.03.2014,13.0,-7.0,3.8,,3,0,-0.1
27.03.2014,9.9,-5.0,2.1,,2,0,-1.0
28.03.2014,14.0,-3.0,5.6,,4,0,1.4
29.03.2014,7.2,-5.0,1.1,,2,0,-2.1
30.03.2014,13.0,-4.0,4.0,,2,0,0.8
31.03.2014,15.0,-2.9,8.2,,3,0,4.7
01.04.2014,4.9,-4.0,0.5,,4,1,-3.8
02.04.2014,12.0,-3.7,3.7,,4,0,-0.7
03.04.2014,21.0,-1.6,8.6,,2,0,5.6
04.04.2014,16.0,0.0,5.9,,4,0,1.7
05.04.2014,23.0,-0.3,10.1,,2,0,7.2
06.04.2014,15.5,0.4,9.2,,4,0,5.2
07.04.2014,13.5,-2.0,6.6,,3,0,3.3
08.04.2014,15.1,-1.0,6.2,,3,0,2.8
09.04.2014,7.0,-1.0,2.6,,3,2,-0.6
10.04.2014,14.0,-1.0,4.9,,3,0,1.6
11.04.2014,18.0,-0.6,8.3,,4,0,4.5
12.04.2014,21.0,-2.0,8.2,,7,0,2.3
13.04.2014,3.0,-6.0,-0.9,,4,10,-5.4
14.04.2014,10.4,-3.7,4.1,,3,0,0.4
15.04.2014,7.3,-1.0,3.3,,3,0,-0.2
16.04.2014,10.5,0.0,4.2,,3,0,0.6
17.04.2014,13.0,-4.0,4.9,,3,0,1.0
18.04.2014,14.7,-2.2,8.1,,3,0,4.4
19.04.2014,15.3,1.0,7.6,,3,0,4.1
20.04.2014,18.9,-1.0,9.9,,2,0,7.0
21.04.2014,22.1,0.0,11.8,,2,0,9.0
22.04.2014,22.7,2.3,13.2,,4,0,9.1
23.04.2014,10.0,-5.0,0.8,,10,0,-7.4
24.04.2014,-1.5,-4.7,-3.1,,5,4,-8.5
25.04.2014,13.5,-3.6,4.3,,5,1,-0.8
26.04.2014,22.0,-1.3,11.6,,5,0,6.9
27.04.2014,22.0,1.0,11.5,,3,0,8.3
